,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
12,BHS,Bahamas,2783.32722,2019,1990,35674.4556311246,33862.9446487499,-0.0017954058375363458,3061.0,3365.0,3521.0,1139.4520884867154,upper-middle,0.0006994652503351517,0.0013081148550508903,0.0015728415941158591
13,BHR,Bahrain,3219.93,2019,1990,36997.7356016117,49768.9762142136,0.010277806196675066,,,,694.194483147405,high,,,
14,BGD,Bangladesh,2874.67348,2019,1990,1730.36894499325,5467.20752090206,0.04046748275006595,3335.0,4068.0,4142.0,2640.219059985498,lower-middle,0.009260819143038335,0.014638534004005388,0.014982822348974745
15,BRB,Barbados,3126.98589,2019,1990,14097.395549571,15954.802664829,0.004277045524265777,,,,2206.1049668047367,middle,,,
16,BLR,Belarus,166.58561,2019,1990,8895.17217109963,19288.0406878264,0.027048184288959165,357.0,551.0,577.0,137.91682929107807,upper-middle,0.013376160946980908,0.015783008054945036,0.01596937606904203
17,BEL,Belgium,149.1616,2019,1990,35506.9265146541,51987.7139145095,0.013234382792935762,293.0,405.0,540.0,77.09856088177456,high,0.004844721451243927,0.006016899266331421,0.006742813605775222
18,BLZ,Belize,3131.04039,2019,1990,6396.50071946363,9028.55148483032,0.011955065049643165,3189.0,3519.0,3760.0,2649.506406828501,lower-middle,0.000943073965688157,0.004742587536683329,0.0065684218641588465
19,BEN,Benin,3506.26079,2019,1990,2109.55933453942,3156.43895692884,0.01399234783954717,3942.0,4424.0,4679.0,3354.3729766145007,low,0.01207995295330333,0.016969837510985464,0.018600146345682855
20,BMU,Bermuda,1657.21581,2019,1990,65961.4062780667,81681.7266682559,0.007398284638131969,,,,150.56789900083675,high,,,
21,BTN,Bhutan,688.24217,2019,1990,2737.99305333418,11797.2841991497,0.0516570258362683,1464.0,1674.0,1555.0,591.5148489756559,middle,0.01506497829659037,0.016020591273806506,0.015517667565515314
22,VEN,Bolivarian Republic of Venezuela,2698.63303,2019,1990,,,,3025.0,3536.0,3828.0,,,,,
23,BIH,Bosnia and Herzegovina,329.4622,2019,1994,1730.12267827479,14851.6485875733,0.08980277801797243,546.0,827.0,861.0,279.5088294519696,middle,0.012052089794953424,0.01554059010773523,0.015779479998128787
24,BWA,Botswana,1902.74742,2019,1990,9164.87250835745,15117.9906741015,0.01740867427431203,1964.0,2515.0,2700.0,1436.2410953936221,middle,0.000929891013527584,0.005808746887032257,0.006753932572698629
25,BRA,Brazil,2195.74083,2019,1990,10401.8424448513,14685.1278924674,0.011962443979586235,2224.0,2646.0,2890.0,1655.363886281356,middle,0.00038656395681457845,0.00432320707116296,0.00572719419686063
26,BRN,Brunei Darussalam,3447.11289,2019,1990,70358.7240942878,61424.3643132688,-0.00467181902705871,3543.0,3884.0,4028.0,441.3693403744696,high,4.979202489852064e-05,0.00020475874628211876,0.00026136428613310336
27,BGR,Bulgaria,420.92849,2019,1990,12507.7284145491,23266.0693152803,0.021632359652777877,677.0,942.0,1017.0,306.9203643720185,upper-middle,0.0074551782337597405,0.00988078943559767,0.010301119152398952
28,BFA,Burkina Faso,3993.88824,2019,1990,981.844761883421,2110.06231119074,0.026731724132555312,4311.0,4870.0,5211.0,3886.267440575127,low,0.012589566610783365,0.0197759773342856,0.02213696890628225
29,BDI,Burundi,1078.00996,2019,1990,1175.15508588164,729.658462620426,-0.016299455680501507,1396.0,2213.0,2368.0,1072.9474672571832,low,0.03837062246805445,0.04708974572154245,0.04778458521010709
30,KHM,Cambodia,3877.86749,2019,1993,1716.84095776483,4464.29444969141,0.03743862702703882,3952.0,4405.0,4655.0,3610.4776461829238,lower-middle,0.0021917159590965074,0.009452861760954612,0.011657539269768424
31,CMR,Cameroon,2657.92843,2019,1990,3483.1868621115,3756.50956165869,0.002608312242317501,2908.0,3500.0,3725.0,2525.3903622734624,low,0.009468207469593537,0.017048865100045107,0.018567536492466452
32,CAN,Canada,160.29738,2019,1990,34562.8663465938,49175.6770500696,0.012233509242049578,335.0,579.0,582.0,85.61222787152052,high,0.005365983790478923,0.0070635680354385055,0.007074956012017353
33,CPV,Cape Verde,1832.51813,2019,1990,1816.02474316339,7793.31178929428,0.0515109584680824,,,,1628.5816361707123,lower-middle,,,
34,CYM,Cayman Islands,3373.68059,2019,2006,84778.3842608364,72432.5012829436,-0.012033586889340753,,,,269.19022894242096,high,,,
35,CAF,Central African Republic,3003.84314,2019,1990,1200.61339024031,861.766788755873,-0.011369465805149415,3082.0,3761.0,4007.0,2980.2550597288955,low,0.013840686432245564,0.03215943567502655,0.03434963557113124
36,TCD,Chad,3748.54714,2019,1990,1027.24442257679,1561.99667256928,0.014556131166957309,4108.0,4595.0,4976.0,3681.064383630501,low,0.017039818103266713,0.023566472239708425,0.026338175129794195
37,CHL,Chile,175.72575,2019,1990,9701.82379080639,24809.8609735994,0.03290663500243607,106.0,190.0,241.0,134.71700160960847,upper-middle,,0.0022414586284238425,0.006609059627813441
38,COL,Colombia,1429.38555,2019,1990,8434.95933574977,14616.1351241706,0.019137408971884096,1874.0,2185.0,2252.0,1115.8875127866602,middle,0.006310849824131104,0.008370796502056965,0.008708559482088596
