,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,ac_adoption,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
10,AUT,Austria,247.14882,2019,1990,37494.5604129864,55806.4382499366,0.013808026955007158,446.0,609.0,689.0,106.83344071425898,0.567736391724391,high,0.003438360415641384,0.004452468990756797,0.00476235543809489
11,AZE,Azerbaijan,793.054,2019,1990,7616.91027506113,14442.0408668016,0.022306271771311392,951.0,1344.0,1470.0,645.9729046947529,0.18546163981928987,upper middle,0.005555544858951933,0.010723556394388822,0.011583102504179266
12,BHS,Bahamas,2783.32722,2019,1990,35674.4556311246,33862.9446487499,-0.0017954058375363458,3061.0,3365.0,3521.0,1139.4520802720742,0.5906151198880332,high,0.0006994652351743902,0.0013081148263984765,0.0015728415594624678
13,BHR,Bahrain,3219.93,2019,1990,36997.7356016117,49768.9762142136,0.010277806196675066,,,,694.1944716963898,0.7844069679476293,high,,,
14,BGD,Bangladesh,2874.67348,2019,1990,1730.36894499325,5467.20752090206,0.04046748275006595,3335.0,4068.0,4142.0,2640.2190601011075,0.08155862623357568,lower middle,0.009260819103514395,0.01463853393416703,0.014982822276882857
15,BRB,Barbados,3126.98589,2019,1990,14097.395549571,15954.802664829,0.004277045524265777,,,,2206.1049628696674,0.2944947497445639,high,,,
16,BLR,Belarus,166.58561,2019,1990,8895.17217109963,19288.0406878264,0.027048184288959165,357.0,551.0,577.0,137.91682956735337,0.17209637994930438,upper middle,0.013376160937325743,0.0157830080188599,0.01596937603017512
17,BEL,Belgium,149.1616,2019,1990,35506.9265146541,51987.7139145095,0.013234382792935762,293.0,405.0,540.0,77.09856121071907,0.4831205805601504,high,0.0048447214278326545,0.006016899226901851,0.0067428135516018894
18,BLZ,Belize,3131.04039,2019,1990,6396.50071946363,9028.55148483032,0.011955065049643165,3189.0,3519.0,3760.0,2649.5064057744426,0.15379360348192683,upper middle,0.0009430739589388892,0.0047425875032771625,0.006568421817749082
19,BEN,Benin,3506.26079,2019,1990,2109.55933453942,3156.43895692884,0.01399234783954717,3942.0,4424.0,4679.0,3354.372976916057,0.04331902906855456,lower middle,0.012079952915959424,0.016969837451155545,0.018600146277138796
20,BMU,Bermuda,1657.21581,2019,1990,65961.4062780667,81681.7266682559,0.007398284638131969,,,,150.5678956185267,0.9091440627648086,high,,,
21,BTN,Bhutan,688.24217,2019,1990,2737.99305333418,11797.2841991497,0.0516570258362683,1464.0,1674.0,1555.0,591.5148494168291,0.14054256597379222,lower middle,0.015064978238461313,0.01602059120573096,0.015517667502862764
23,BIH,Bosnia and Herzegovina,329.4622,2019,1994,1730.12267827479,14851.6485875733,0.08980277801797243,546.0,827.0,861.0,279.5088298194474,0.15162094522695657,upper middle,0.012052089780475894,0.015540590064694992,0.01577947995239737
24,BWA,Botswana,1902.74742,2019,1990,9164.87250835745,15117.9906741015,0.01740867427431203,1964.0,2515.0,2700.0,1436.2410945709767,0.24517511915954837,upper middle,0.0009298910063875176,0.00580874684048327,0.006753932517623573
25,BRA,Brazil,2195.74083,2019,1990,10401.8424448513,14685.1278924674,0.011962443979586235,2224.0,2646.0,2890.0,1655.3638850144969,0.24610233484864574,upper middle,0.00038656395356695405,0.004323207034613308,0.005727194147764125
26,BRN,Brunei Darussalam,3447.11289,2019,1990,70358.7240942878,61424.3643132688,-0.00467181902705871,3543.0,3884.0,4028.0,441.3693293526667,0.871959711376709,high,4.979202170285468e-05,0.00020475873270586753,0.00026136426857248374
27,BGR,Bulgaria,420.92849,2019,1990,12507.7284145491,23266.0693152803,0.021632359652777877,677.0,942.0,1017.0,306.9203648031718,0.270849153491198,upper middle,0.007455178205729052,0.00988078938546888,0.010301119097272382
28,BFA,Burkina Faso,3993.88824,2019,1990,981.844761883421,2110.06231119074,0.026731724132555312,4311.0,4870.0,5211.0,3886.2674409178294,0.026946372210498004,low,0.012589566582497325,0.019775977276747403,0.02213696883696592
29,BDI,Burundi,1078.00996,2019,1990,1175.15508588164,729.658462620426,-0.016299455680501507,1396.0,2213.0,2368.0,1072.9474673367997,0.004696146465289042,low,0.03837062246159584,0.047089745658195126,0.04778458514038597
30,KHM,Cambodia,3877.86749,2019,1993,1716.84095776483,4464.29444969141,0.03743862702703882,3952.0,4405.0,4655.0,3610.477646129111,0.06895280577802554,lower middle,0.0021917159495006278,0.009452861717423211,0.011657539214764201
31,CMR,Cameroon,2657.92843,2019,1990,3483.1868621115,3756.50956165869,0.002608312242317501,2908.0,3500.0,3725.0,2525.39036263053,0.04986517540258595,lower middle,0.0094682074463035,0.017048865043636008,0.018567536427568365
32,CAN,Canada,160.29738,2019,1990,34562.8663465938,49175.6770500696,0.012233509242049578,335.0,579.0,582.0,85.61222821109718,0.46591623511814617,high,0.00536598376316233,0.0070635679799482265,0.007074955956256179
33,CPV,Cape Verde,1832.51813,2019,1990,1816.02474316339,7793.31178929428,0.0515109584680824,,,,1628.5816364327325,0.11128757212746787,lower middle,,,
34,CYM,Cayman Islands,3373.68059,2019,2006,84778.3842608364,72432.5012829436,-0.012033586889340753,,,,269.1902202170729,0.9202087414514031,high,,,
