"Model","Scenario","Region","Variable","Unit","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA GDP 2023","SSP1","Burkina Faso","GDP|PPP","billion USD_2017/yr",58.2860616531115,77.2430987362006,103.075411547438,137.768073326728,186.498647526503,249.868082666885,335.191586550059,439.933402519423,562.650943936831,694.358699111122,831.30778562551,967.694661301494,1096.46513739104,1210.00039549699,1305.67611297605,1384.0459653607
"IIASA GDP 2023","SSP1","Bangladesh","GDP|PPP","billion USD_2017/yr",1377.56960395801,1445.905205567,1748.01750737577,2134.79695415098,2647.30034746901,3252.7177903175,3955.89487290555,4726.84027017768,5611.1912178012,6537.78672181508,7457.38449758435,8283.00913292765,8942.80030920611,9378.87006038803,9633.6996101735,9754.38975009795
"IIASA GDP 2023","SSP1","Bulgaria","GDP|PPP","billion USD_2017/yr",187.8609134527,181.221327688921,185.177924147901,190.680418284425,196.748725778353,200.52581542982,205.513467135274,211.257038896066,221.342117392826,230.384973024721,235.11388582021,236.682526202067,237.118741736611,237.241667446918,237.338060861927,236.799883088291
"IIASA GDP 2023","SSP1","Bahrain","GDP|PPP","billion USD_2017/yr",83.6479249918645,85.7913188992081,93.6472957217262,102.840382023217,114.160177994956,121.08060674202,129.067353611066,136.284400457429,149.409521914253,162.479509429575,174.270693611471,182.740408841007,187.944882394755,190.675961917179,192.019623252729,191.792262549014
"IIASA GDP 2023","SSP1","Bahamas","GDP|PPP","billion USD_2017/yr",14.7539251891303,16.7601897823114,18.5311382321616,20.2458839965929,21.6213706604569,22.9219086150709,24.2551635166082,25.3894270086228,26.3630871769064,27.1134751852508,27.6594734461222,28.1479087734231,28.8922101205993,29.6925152250932,30.4308730261864,31.029348081844
"IIASA GDP 2023","SSP1","Bosnia and Herzegovina","GDP|PPP","billion USD_2017/yr",58.7695322050768,58.9030304102125,63.749185966379,69.2773699845504,74.853787735591,79.1079896396569,82.6757219222462,86.3292179160531,90.4730724566058,94.2074353225886,97.229656776664,99.008599409325,99.7638952224515,99.9176877013333,99.8525869659981,99.5010900591004
"IIASA GDP 2023","SSP1","Belarus","GDP|PPP","billion USD_2017/yr",181.010312153658,194.066813215841,210.395196127563,225.611450144269,235.207408229152,246.43655022758,257.384715063134,269.590064398866,283.49136590931,293.773801187163,299.728025520148,303.420497022891,305.937410088913,307.716090331882,308.485301733023,306.891727687888
"IIASA GDP 2023","SSP1","Belize","GDP|PPP","billion USD_2017/yr",4.18457132618583,6.01006351359733,8.73460184759797,12.3331424290732,16.4237956630483,20.6750694454241,24.8975427862374,28.8676276006272,32.8706101403022,36.5801203168321,39.9194252644624,42.6569911459839,44.6482534059986,45.8639620626333,46.5774282479052,46.9217825041831
"IIASA GDP 2023","SSP1","Bolivia","GDP|PPP","billion USD_2017/yr",106.314083359068,127.148859304781,162.131519952162,204.117265647656,251.630736867762,301.946433686207,353.667997105023,401.743379500098,449.482162818203,493.458040302509,532.545333890243,564.878926385198,589.525135849263,606.939636524099,617.972629496281,621.937889214827
"IIASA GDP 2023","SSP1","Brazil","GDP|PPP","billion USD_2017/yr",3392.20226731634,3489.93872800642,3880.82466898956,4332.66283203845,4885.45578746356,5476.74841823398,6137.39901910893,6768.22861528786,7485.72896604175,8123.82874193178,8686.02238799726,9101.34687384254,9347.95129548667,9442.66878621399,9454.44514085222,9358.89473262405
"IIASA GDP 2023","SSP1","Barbados","GDP|PPP","billion USD_2017/yr",4.76360632680045,4.95052175843912,5.5743629599488695,6.32395242724124,7.266780330588,8.31471636911414,9.3794981117178,10.3359849665375,11.3245153201679,12.2213637610755,12.990122784511101,13.6296050165993,14.1309997133147,14.4676946335721,14.6804391224054,14.7800822978467
"IIASA GDP 2023","SSP1","Brunei Darussalam","GDP|PPP","billion USD_2017/yr",29.0655958852504,30.7021386049077,33.0262678792628,35.3816695511538,37.722980761748,40.0069203210829,42.4253903938469,45.0086347709834,48.1398557417316,51.2909819661003,54.1556372408261,56.600029054921,58.4448365248259,59.8844699610929,61.0244567200622,61.7270179051024
"IIASA GDP 2023","SSP1","Bhutan","GDP|PPP","billion USD_2017/yr",9.66589411185819,9.83894349655952,11.7713435304272,14.1566546044301,16.8886304453413,19.737554479943,22.5390260261465,25.3340514359936,28.018862209064,30.6228594375996,32.7558996374582,34.0618765683876,34.3205964373549,33.9422531181081,33.1409984621487,32.1695522261959
"IIASA GDP 2023","SSP1","Botswana","GDP|PPP","billion USD_2017/yr",46.1822203881881,54.8312110392885,68.1716017337223,83.1355478781711,98.24275260592199,113.259941067988,129.906339730018,145.222604321023,159.002054603801,170.355388300844,179.102141454438,184.567319432051,187.08799848826,186.789348516425,184.702655957739,180.446324974072
