,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
47,FIN,47.37731,2019,1990.0,32939.3832880618,48583.4339897935,0.013490657869530631,119.0,189.0,241.0,Finland,high,71.62269,141.62269,193.62269,41.62777744272244,0.1213562474795965,,,0.0012003874194319586,,,
48,FRA,308.48687,2019,1990.0,33843.0203949502,45922.7947390313,0.010580715945510688,467.0,661.0,791.0,France,high,158.51313,352.51313,482.51313,142.26419787898467,0.5388322430741228,0.0007718510307990201,,,,,
49,GAB,2767.9213,2019,1990.0,17559.0061141964,14478.0017220931,-0.006630904515670388,3216.0,3727.0,3928.0,Gabon,upper middle,448.0787,959.0787,1160.0787,1632.8315914016146,0.41008742141562526,0.0013648775625465515,0.0023087960608105806,0.0025779850700402562,0.02272613464377815,0.02275443979290115,0.022761369699718648
50,GMB,3237.72329,2019,1990.0,2080.15808488147,2083.3090583462,5.219549477319951e-05,3861.0,4258.0,4424.0,Gambia,low,623.2767100000001,1020.2767100000001,1186.27671,3167.8699257524263,0.02157484071085447,0.016729707840714036,0.019465854228021717,0.02025460342651675,0.04753352735058258,0.047543593181391675,0.047546149313867136
51,GEO,436.60517,2019,1990.0,11135.4628892798,14989.2581602038,0.010300932762076664,523.0,877.0,1056.0,Georgia,upper middle,86.39483000000001,440.39483,619.39483,315.7875790688512,0.2767204770643207,0.0037260732898074522,0.007969249986510496,0.008464711138712833,0.013302596557589474,0.012493505039904873,0.012104011476477439
52,DEU,213.08829,2019,1990.0,36699.4817033163,53874.3166510099,0.01332563399251474,336.0,484.0,612.0,Germany,high,122.91171,270.91170999999997,398.91170999999997,122.87408421835005,0.42336538428108816,0.0032157556054177583,0.0005562204032476536,,,,
53,GHA,3433.25176,2019,1990.0,2299.63879373958,5345.94159228145,0.02951638162913528,3851.0,4333.0,4581.0,Ghana,lower middle,417.7482399999999,899.7482399999999,1147.74824,3109.7285500396724,0.09423230003975236,0.005525626711722742,0.008436937988417048,0.009402534400084761,0.03541646356682171,0.035428004882390285,0.035430988840002176
54,GRC,947.01236,2019,1990.0,24262.8425808592,29721.5857620428,0.00702203995147177,1045.0,1300.0,1376.0,Greece,high,97.98764000000006,352.98764000000006,428.98764000000006,304.4040384337615,0.6785638168083028,0.00019947488567462202,0.0004329546502743753,0.0004587185675755112,0.003608634723966775,0.003150858120567035,0.003032797170370083
55,GTM,1350.35619,2019,1990.0,5561.07068412655,8673.00201631063,0.015443006355923883,1698.0,2273.0,2306.0,Guatemala,upper middle,347.64381000000003,922.64381,955.64381,1116.1383866382682,0.17344890562669368,0.0056856219410315045,0.008828725361573087,0.00893174536909802,0.017964986998032728,0.017384460822149173,0.017356571691113043
56,GIN,3036.38941,2019,1990.0,1507.19852172471,2545.1402015108,0.01823084776178896,3232.0,3794.0,4036.0,Guinea,low,195.61058999999977,757.6105899999998,999.6105899999998,2947.304782668756,0.029338999483351502,0.008715683795115003,0.015991327105233877,0.017449151749902247,0.044914600594812004,0.04494490886916869,0.04495245169901163
