,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
20,BGR,420.92849,2019,1990.0,12507.7284145491,23266.0693152803,0.021632359652777877,677.0,942.0,1017.0,Bulgaria,upper middle,256.07151,521.07151,596.07151,302.98498542986505,0.28019843601019967,0.00535543187650056,0.006402228692567569,0.006515163921627876,0.008873767558720269,0.008722286818611202,0.008645973598481849
21,BFA,3993.88824,2019,1990.0,981.844761883421,2110.06231119074,0.026731724132555312,4311.0,4870.0,5211.0,Burkina Faso,low,317.1117599999998,876.1117599999998,1217.1117599999998,3970.6766294034323,0.005811782704407298,0.016943688090374165,0.02229683157861695,0.02386413285012501,0.04891685199068507,0.04891685199068507,0.04891685199068507
22,BDI,1078.00996,2019,1990.0,1175.15508588164,729.658462620426,-0.016299455680501507,1396.0,2213.0,2368.0,Burundi,low,317.9900399999999,1134.99004,1289.99004,1077.1568284695502,0.000791394849867566,0.03909737288808257,0.04460850961629981,0.044975343955603764,0.05228155167155557,0.05158176742127729,0.05147611933471263
23,KHM,3877.86749,2019,1993.0,1716.84095776483,4464.29444969141,0.03743862702703882,3952.0,4405.0,4655.0,Cambodia,lower middle,74.13250999999991,527.1325099999999,777.1325099999999,3784.850079536868,0.02398674289490277,0.003644503119519138,0.011254781597125785,0.013014588905525981,0.03925726325107126,0.03925726325107126,0.03925726325107126
24,CMR,2657.92843,2019,1990.0,3483.1868621115,3756.50956165869,0.002608312242317501,2908.0,3500.0,3725.0,Cameroon,lower middle,250.07157000000007,842.0715700000001,1067.07157,2613.0898243374318,0.016869756595578544,0.011704232863046116,0.017565853430540068,0.018590793124685367,0.030104249349793166,0.041474410009070706,0.041474410009070706
25,CAN,160.29738,2019,1990.0,34562.8663465938,49175.6770500696,0.012233509242049578,335.0,579.0,582.0,Canada,high,174.70262,418.70262,421.70262,105.6092564586912,0.34116667122886724,0.009208405927022767,0.0035245017149463376,0.0035003544675200615,,,
26,CAF,3003.84314,2019,1990.0,1200.61339024031,861.766788755873,-0.011369465805149415,3082.0,3761.0,4007.0,Central African Republic,low,78.15686000000005,757.15686,1003.15686,3000.5696963618343,0.0010897518564054742,0.02126678359129741,0.03459001932697592,0.03597139974610197,0.06057739329082645,0.06057739329082645,0.06057739329082645
27,TCD,3748.54714,2019,1990.0,1027.24442257679,1561.99667256928,0.014556131166957309,4108.0,4595.0,4976.0,Chad,low,359.4528599999999,846.4528599999999,1227.4528599999999,3736.163775453298,0.0033035104226278866,0.021653892326322532,0.026248642557711976,0.028036684621729258,0.05281871384178616,0.05281871384178616,0.05281871384178616
28,CHL,175.72575,2019,1990.0,9701.82379080639,24809.8609735994,0.03290663500243607,106.0,190.0,241.0,Chile,high,-69.72575,14.274249999999995,65.27425,136.2349413078884,0.2247297774635284,,0.020399342954971367,0.019828933630178458,,,
29,COL,1429.38555,2019,1990.0,8434.95933574977,14616.1351241706,0.019137408971884096,1874.0,2185.0,2252.0,Colombia,upper middle,444.61445000000003,755.61445,822.61445,1157.0004843431682,0.19056094813385505,0.004663860080880378,0.0059699306086502535,0.006170847210076769,0.01362923010916206,0.01339957388013735,0.0133541792177998
30,COM,2996.85716,2019,1990.0,2922.71225211885,3290.65052676586,0.004097102514684092,2580.0,2909.0,3119.0,Comoros,lower middle,-416.85716,-87.85716000000002,122.14283999999998,2957.1778444709894,0.013240309234161307,,,0.008911372326213751,0.03197234190385245,0.03178894049046321,0.04317822639840774
31,CRI,1304.31538,2019,1990.0,9810.55130671056,20818.061678299,0.026282996861516583,2417.0,2878.0,3065.0,Costa Rica,upper middle,1112.68462,1573.68462,1760.68462,868.4011387485293,0.3342092318588398,0.00403568068242488,0.0044364311524425215,0.019688843530657918,0.008833010189058355,0.008571978272991387,0.019688843530657918
32,CIV,3121.59607,2019,1990.0,4351.47678203302,5132.34156942981,0.0057074923588851245,3554.0,4067.0,4280.0,Cote d'Ivoire,lower middle,432.40392999999995,945.40393,1158.40393,3025.529544799041,0.03077480975972613,0.010104202543129936,0.013507816051781196,0.014338809417782095,0.03746960160024693,0.03746960160024693,0.03746960160024693
33,HRV,521.68235,2019,1995.0,15083.558943419,29347.5161917663,0.028121592509674054,772.0,1077.0,1117.0,Croatia,high,250.31764999999996,555.31765,595.31765,312.6001412485328,0.40078451715199337,0.002777323237859619,0.003532736873815834,0.0035711657640129513,0.0059702792273848004,0.005695440917282468,0.0056530197789252945
34,CYP,1570.97282,2019,1990.0,25232.609375,41739.46484375,0.017506995788090896,1660.0,1881.0,2007.0,Cyprus,high,89.02718000000004,310.02718000000004,436.02718000000004,256.66150361894984,0.8366225689258266,,,,0.000759157901730978,0.0005773060369718142,0.0004818462974796045
35,CZE,247.12542,2019,1990.0,23585.1814938054,40989.7266228223,0.019241495776139983,389.0,524.0,620.0,Czechia,high,141.87458,276.87458000000004,372.87458000000004,148.6334187015331,0.39855066831436003,0.003771200554498977,0.003777051228046391,0.0035416901185691962,0.00019257607720013503,0.0015660660438101548,0.0018054513527350213
36,COD,2184.36589,2019,1990.0,1750.16973868902,1059.89211136718,-0.01714598327980532,2589.0,3266.0,3506.0,DR Congo,low,404.63410999999996,1081.63411,1321.63411,2180.8928065128553,0.0015899733204242095,0.030742798496418366,0.03560433529325291,0.03641829971373123,0.04650217751500563,0.057871302615372766,0.057871302615372766
37,DNK,62.27477,2019,1990.0,39027.9787365148,56813.9641554635,0.013032584827722182,126.0,207.0,287.0,Denmark,high,63.72523,144.72523,224.72523,51.96171072409068,0.165605738502275,,0.002886044683304112,0.00576456745029752,,,
38,DJI,3816.20573,2019,2013.0,3664.26803619943,4768.11300470727,0.04486428412866439,4081.0,4573.0,4828.0,Djibouti,lower middle,264.79426999999987,756.7942699999999,1011.7942699999999,3712.509196242558,0.027172679120064602,0.007664625130377578,0.012255533603020119,0.013517668860285825,0.03841286421891654,0.03841286421891654,0.03841286421891654
