,ISO3,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,Country,income_group,CDD_ssp1_rcp26_2100_diff,CDD_ssp2_rcp45_2100_diff,CDD_ssp5_rcp60_2100_diff,exposure_times_cdd,ac_adoption,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60,gdp_const_ssp1_rcp26_custom_exp_cdd,gdp_const_ssp2_rcp45_custom_exp_cdd,gdp_const_ssp5_rcp60_custom_exp_cdd
13,BLZ,2042.48902,2019,1990.0,6396.50071946363,9028.55148483032,0.011955065049643165,2100.5,2428.0,2667.0,Belize,upper middle,58.01098000000002,385.51098,624.51098,1767.798506192497,0.134488122637498,0.001548379724780391,0.006767431882020114,0.008899759553194109,0.025699244431443447,0.02557568832751045,0.025492499401254642
14,BEN,2411.26081,2019,1990.0,2109.55933453942,3156.43895692884,0.01399234783954717,2846.5,3328.0,3583.5,Benin,lower middle,435.2391899999998,916.7391899999998,1172.2391899999998,2330.9257495498173,0.033316620133756025,0.015755714219356287,0.020642484002749262,0.022171274619113168,0.03882496203909103,0.03867874240138125,0.0386083258891996
15,BTN,282.70792,2019,1990.0,2737.99305333418,11797.2841991497,0.0516570258362683,815.5,1086.5,1184.0,Bhutan,lower middle,532.7920799999999,803.7920799999999,901.2920799999999,235.59210355685403,0.16665899010945984,0.017294143258891337,0.018429434429083846,0.01867445147496416,0.022772803847147527,0.022736840551992987,0.022702549093515323
16,BIH,118.92867,2019,1994.0,1730.12267827479,14851.6485875733,0.08980277801797243,282.5,497.0,523.0,Bosnia and Herzegovina,upper middle,163.57133,378.07133,404.07133,94.96133716535876,0.20152695590256953,0.016714521475325705,0.019268372531646483,0.01936893662005512,0.01697479373902655,0.01941728989991942,0.019510806823115567
17,BWA,1139.00546,2019,1990.0,9164.87250835745,15117.9906741015,0.01740867427431203,1185.0,1646.5,1791.5,Botswana,upper middle,45.994539999999915,507.4945399999999,652.4945399999999,858.2173710138268,0.24652040648354157,0.0011434415137494547,0.006976460018271791,0.0078998290183665,0.019575519732788704,0.019380337384042434,0.019318318015251856
18,BRA,1254.38254,2019,1990.0,10401.8424448513,14685.1278924674,0.011962443979586235,1307.0,1667.0,1893.5,Brazil,upper middle,52.61745999999994,412.61745999999994,639.1174599999999,953.3918630551193,0.23995126474327422,0.00121318664854142,0.005991338762879828,0.007584986494502788,0.01989247920512982,0.019737144234732273,0.019641315306409446
19,BRN,2352.11288,2019,1990.0,70358.7240942878,61424.3643132688,-0.00467181902705871,2448.0,2788.0,2933.0,Brunei Darussalam,high,95.88711999999987,435.88711999999987,580.8871199999999,176.79951299147297,0.9248337465030705,2.4138889114233564e-06,,,0.0015765560612541751,0.0014632493791062462,0.0014181308797831527
20,BGR,156.09435,2019,1990.0,12507.7284145491,23266.0693152803,0.021632359652777877,358.5,568.5,630.0,Bulgaria,upper middle,202.40565,412.40565000000004,473.90565000000004,106.13190883509235,0.32007847282690016,0.011439641417196,0.01315293878096635,0.013338700243552104,0.012764089144353452,0.014000102988342311,0.014110415948705102
21,BFA,2898.95989,2019,1990.0,981.844761883421,2110.06231119074,0.026731724132555312,3215.0,3774.5,4115.5,Burkina Faso,low,316.0401099999999,875.5401099999999,1216.54011,2842.85138843783,0.019354700889693932,0.0164664235994767,0.023673604580298768,0.025870688427713562,0.04388865713814205,0.04373503602590856,0.04365113477517424
22,BDI,215.4572,2019,1990.0,1175.15508588164,729.658462620426,-0.016299455680501507,471.0,1147.0,1289.0,Burundi,low,255.5428,931.5427999999999,1073.5428,214.48427842060985,0.00451561414234547,0.04953976237832158,0.054728147619287126,0.054983832343437955,0.057935838859880295,0.058465978372393757,0.058408567246114096
