ISO,NAME,data,rcp,regnum,ssp,stat,tslice,year,value
GEO,Georgia,CDD,rcp26,60,SSP1,mean,future,2020,136.5
GEO,Georgia,CDD,rcp26,60,SSP1,PopWeightAv,future,2020,210.0
GHA,Ghana,CDD,rcp26,61,SSP1,mean,future,2020,2757.5
GHA,Ghana,CDD,rcp26,61,SSP1,PopWeightAv,future,2020,2675.0
GIN,Guinea,CDD,rcp26,62,SSP1,mean,future,2020,2167.0
GIN,Guinea,CDD,rcp26,62,SSP1,PopWeightAv,future,2020,2067.0
GMB,Gambia,CDD,rcp26,63,SSP1,mean,future,2020,2676.0
GMB,Gambia,CDD,rcp26,63,SSP1,PopWeightAv,future,2020,2550.5
GNB,Guinea-Bissau,CDD,rcp26,64,SSP1,mean,future,2020,2485.0
GNB,Guinea-Bissau,CDD,rcp26,64,SSP1,PopWeightAv,future,2020,2501.0
GNQ,Equatorial Guinea,CDD,rcp26,65,SSP1,mean,future,2020,1566.0
GNQ,Equatorial Guinea,CDD,rcp26,65,SSP1,PopWeightAv,future,2020,1544.5
GRC,Greece,CDD,rcp26,66,SSP1,mean,future,2020,423.5
GRC,Greece,CDD,rcp26,66,SSP1,PopWeightAv,future,2020,493.5
GTM,Guatemala,CDD,rcp26,67,SSP1,mean,future,2020,1585.0
GTM,Guatemala,CDD,rcp26,67,SSP1,PopWeightAv,future,2020,834.0
GUY,Guyana,CDD,rcp26,68,SSP1,mean,future,2020,2259.5
GUY,Guyana,CDD,rcp26,68,SSP1,PopWeightAv,future,2020,2451.0
HKG,"China, Hong Kong SAR",CDD,rcp26,69,SSP1,mean,future,2020,1595.5
HKG,"China, Hong Kong SAR",CDD,rcp26,69,SSP1,PopWeightAv,future,2020,1595.5
HND,Honduras,CDD,rcp26,70,SSP1,mean,future,2020,1542.0
HND,Honduras,CDD,rcp26,70,SSP1,PopWeightAv,future,2020,1276.0
HRV,Croatia,CDD,rcp26,71,SSP1,mean,future,2020,262.5
HRV,Croatia,CDD,rcp26,71,SSP1,PopWeightAv,future,2020,287.0
HTI,Haiti,CDD,rcp26,72,SSP1,mean,future,2020,1743.0
HTI,Haiti,CDD,rcp26,72,SSP1,PopWeightAv,future,2020,1793.0
HUN,Hungary,CDD,rcp26,73,SSP1,mean,future,2020,260.5
HUN,Hungary,CDD,rcp26,73,SSP1,PopWeightAv,future,2020,251.0
IDN,Indonesia,CDD,rcp26,74,SSP1,mean,future,2020,2138.5
IDN,Indonesia,CDD,rcp26,74,SSP1,PopWeightAv,future,2020,2323.5
IND,India,CDD,rcp26,75,SSP1,mean,future,2020,2124.0
IND,India,CDD,rcp26,75,SSP1,PopWeightAv,future,2020,2330.5
IRL,Ireland,CDD,rcp26,76,SSP1,mean,future,2020,1.5
IRL,Ireland,CDD,rcp26,76,SSP1,PopWeightAv,future,2020,2.0
IRN,Iran (Islamic Republic of),CDD,rcp26,77,SSP1,mean,future,2020,1243.5
IRN,Iran (Islamic Republic of),CDD,rcp26,77,SSP1,PopWeightAv,future,2020,947.5
IRQ,Iraq,CDD,rcp26,78,SSP1,mean,future,2020,2116.5
IRQ,Iraq,CDD,rcp26,78,SSP1,PopWeightAv,future,2020,2232.0
ISL,Iceland,CDD,rcp26,79,SSP1,mean,future,2020,0.0
ISL,Iceland,CDD,rcp26,79,SSP1,PopWeightAv,future,2020,
ISR,Israel,CDD,rcp26,80,SSP1,mean,future,2020,1036.0
ISR,Israel,CDD,rcp26,80,SSP1,PopWeightAv,future,2020,925.5
ITA,Italy,CDD,rcp26,81,SSP1,mean,future,2020,289.0
ITA,Italy,CDD,rcp26,81,SSP1,PopWeightAv,future,2020,327.5
JAM,Jamaica,CDD,rcp26,82,SSP1,mean,future,2020,1814.0
JAM,Jamaica,CDD,rcp26,82,SSP1,PopWeightAv,future,2020,1660.5
JOR,Jordan,CDD,rcp26,83,SSP1,mean,future,2020,1078.0
JOR,Jordan,CDD,rcp26,83,SSP1,PopWeightAv,future,2020,908.0
JPN,Japan,CDD,rcp26,84,SSP1,mean,future,2020,294.5
JPN,Japan,CDD,rcp26,84,SSP1,PopWeightAv,future,2020,464.0
KAZ,Kazakhstan,CDD,rcp26,85,SSP1,mean,future,2020,390.5
KAZ,Kazakhstan,CDD,rcp26,85,SSP1,PopWeightAv,future,2020,320.5
KEN,Kenya,CDD,rcp26,86,SSP1,mean,future,2020,1886.5
KEN,Kenya,CDD,rcp26,86,SSP1,PopWeightAv,future,2020,673.0
KGZ,Kyrgyzstan,CDD,rcp26,87,SSP1,mean,future,2020,24.5
KGZ,Kyrgyzstan,CDD,rcp26,87,SSP1,PopWeightAv,future,2020,92.0
KHM,Cambodia,CDD,rcp26,88,SSP1,mean,future,2020,2698.5
